2026-01-17 18:48:43,797 | INFO     | generation.utils.kafka | [KafkaUtils]: Creating topic 'votes_raw'...
2026-01-17 18:48:43,968 | INFO     | generation.utils.kafka | [KafkaUtils]: Topic 'votes_raw' created succesfully
2026-01-17 18:48:43,969 | INFO     | generation.utils.kafka | [KafkaUtils]: Waiting 5 seconds for metadata propagation...
2026-01-17 18:48:49,071 | INFO     | generation.utils.kafka | [KafkaUtils]: Creating topic 'votes_clean'...
2026-01-17 18:48:49,178 | INFO     | generation.utils.kafka | [KafkaUtils]: Topic 'votes_clean' created succesfully
2026-01-17 18:48:49,181 | INFO     | generation.utils.kafka | [KafkaUtils]: Waiting 5 seconds for metadata propagation...
2026-01-17 18:48:54,254 | INFO     | generation.utils.kafka | [KafkaUtils]: Creating topic 'votes_seats_provinces'...
2026-01-17 18:48:54,376 | INFO     | generation.utils.kafka | [KafkaUtils]: Topic 'votes_seats_provinces' created succesfully
2026-01-17 18:48:54,377 | INFO     | generation.utils.kafka | [KafkaUtils]: Waiting 5 seconds for metadata propagation...
2026-01-17 19:54:06,385 | INFO     | generation.utils.kafka | [KafkaUtils]: Creating topic 'votes_raw'...
2026-01-17 19:54:06,829 | INFO     | generation.utils.kafka | [KafkaUtils]: Topic 'votes_raw' created succesfully
2026-01-17 19:54:06,830 | INFO     | generation.utils.kafka | [KafkaUtils]: Waiting 5 seconds for metadata propagation...
2026-01-17 19:54:11,906 | INFO     | generation.utils.kafka | [KafkaUtils]: Creating topic 'votes_clean'...
2026-01-17 19:54:11,986 | INFO     | generation.utils.kafka | [KafkaUtils]: Topic 'votes_clean' created succesfully
2026-01-17 19:54:11,987 | INFO     | generation.utils.kafka | [KafkaUtils]: Waiting 5 seconds for metadata propagation...
2026-01-17 19:54:17,061 | INFO     | generation.utils.kafka | [KafkaUtils]: Creating topic 'votes_seats_provinces'...
2026-01-17 19:54:17,120 | INFO     | generation.utils.kafka | [KafkaUtils]: Topic 'votes_seats_provinces' created succesfully
2026-01-17 19:54:17,121 | INFO     | generation.utils.kafka | [KafkaUtils]: Waiting 5 seconds for metadata propagation...
2026-01-17 19:56:16,417 | INFO     | generation.utils.kafka | [KafkaUtils]: Creating topic 'votes_raw'...
2026-01-17 19:56:16,502 | INFO     | generation.utils.kafka | [KafkaUtils]: Topic 'votes_raw' created succesfully
2026-01-17 19:56:16,503 | INFO     | generation.utils.kafka | [KafkaUtils]: Waiting 5 seconds for metadata propagation...
